"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min", "test"
SANFRAN.C,20220722,2359,0.00,,72,56,,,,,,,,,,,,,,
SANFRAN.C,20220723,2359,0.00,,72,56,,,,,,,,,,,,,,
SANFRAN.C,20220724,2359,0.00,,72,56,,,,,,,,,,,,,,
SANFRAN.C,20220725,2359,0.00,,72,55,,,,,,,,,,,,,,
SANFRAN.C,20220726,2359,0.00,,72,55,,,,,,,,,,,,,,
SANFRAN.C,20220727,2359,0.00,,71,55,,,,,,,,,,,,,,
SANFRAN.C,20220728,2359,0.00,,70,56,,,,,,,,,,,,,,
SANFRAN.C,20220729,2359,0.00,,71,56,,,,,,,,,,,,,,
SANFRAN.C,20220730,2359,0.00,,72,55,,,,,,,,,,,,,,
SANFRAN.C,20220731,2359,0.00,,72,56,,,,,,,,,,,,,,
