Precip,Air_Temp_Max,Air_Temp_Min,DayOfWeek,Operating_Airline,Dest,DestState,DepDelay,DepDel15,DepTimeBlk,Distance,DistanceGroup,DepDelayBinary
0.02,69,53,1,UA,DEN,CO,-6.0,0.0,1800-1859,967.0,4,0
0.24,60,47,6,OO,LAX,CA,-3.0,0.0,1500-1559,337.0,2,0
0.13,59,45,4,UA,DEN,CO,-7.0,0.0,1400-1459,967.0,4,0
0.0,73,55,5,OO,TUS,AZ,-6.0,0.0,0800-0859,751.0,4,0
0.0,69,53,7,AA,DFW,TX,110.0,1.0,0600-0659,1464.0,6,1
0.0,70,56,4,OO,BUR,CA,-1.0,0.0,1600-1659,326.0,2,0
0.04,64,49,1,OO,FAT,CA,-8.0,0.0,1800-1859,158.0,1,0
0.0,72,54,7,OO,SAN,CA,36.0,1.0,0800-0859,447.0,2,1
0.13,60,47,4,UA,PHX,AZ,0.0,0.0,1300-1359,651.0,3,0
0.06,63,48,1,OO,SNA,CA,-3.0,0.0,0700-0759,372.0,2,0
0.13,56,44,4,OO,SAN,CA,14.0,0.0,1800-1859,447.0,2,1
0.0,73,56,1,OO,MFR,OR,1.0,0.0,1600-1659,329.0,2,1
0.0,69,52,3,DL,SLC,UT,1.0,0.0,1300-1359,599.0,3,1
0.18,57,45,3,UA,LAS,NV,-4.0,0.0,1900-1959,414.0,2,0
0.03,63,48,4,AS,SEA,WA,10.0,0.0,1600-1659,679.0,3,1
0.13,60,46,5,OO,SBP,CA,12.0,0.0,2200-2259,190.0,1,1
0.13,59,45,4,OO,STS,CA,-3.0,0.0,2200-2259,66.0,1,0
0.0,73,55,1,OO,GEG,WA,1.0,0.0,0800-0859,733.0,3,1
0.0,73,54,2,AS,BOS,MA,15.0,1.0,0700-0759,2704.0,11,1
0.01,67,51,3,UA,LIH,HI,-6.0,0.0,1600-1659,2447.0,10,0
0.01,70,54,3,OO,BOI,ID,2.0,0.0,1300-1359,522.0,3,1
0.13,59,45,4,F9,LAS,NV,-10.0,0.0,0800-0859,414.0,2,0
0.01,68,53,5,AS,SEA,WA,111.0,1.0,0800-0859,679.0,3,1
0.0,71,56,5,DL,MSP,MN,14.0,0.0,0001-0559,1589.0,7,1
0.13,56,44,4,OO,PSP,CA,0.0,0.0,1600-1659,421.0,2,0
0.0,72,54,5,AS,PDX,OR,6.0,0.0,0900-0959,550.0,3,1
0.06,67,53,5,OO,LAX,CA,-2.0,0.0,1500-1559,337.0,2,0
0.1,59,46,3,UA,LAX,CA,10.0,0.0,2200-2259,337.0,2,1
0.4,55,43,2,DL,ATL,GA,33.0,1.0,1100-1159,2139.0,9,1
0.11,62,48,3,AA,ORD,IL,-2.0,0.0,0001-0559,1846.0,8,0
0.18,58,44,2,OO,SAT,TX,-10.0,0.0,1600-1659,1482.0,6,0
0.12,56,43,1,UA,OGG,HI,5.0,0.0,1800-1859,2338.0,10,1
0.0,72,56,7,UA,RDU,NC,-2.0,0.0,0900-0959,2400.0,10,0
0.0,72,56,6,DL,DTW,MI,-6.0,0.0,2100-2159,2079.0,9,0
0.0,71,54,6,OO,SAN,CA,23.0,1.0,1000-1059,447.0,2,1
0.17,58,46,1,UA,SAN,CA,3.0,0.0,1000-1059,447.0,2,1
0.0,72,55,4,DL,LAX,CA,-3.0,0.0,1900-1959,337.0,2,0
0.04,64,49,1,OO,SMF,CA,-8.0,0.0,2200-2259,86.0,1,0
0.16,57,45,4,OO,MRY,CA,-3.0,0.0,2200-2259,77.0,1,0
0.0,72,55,2,AA,PHL,PA,40.0,1.0,2200-2259,2521.0,11,1
0.11,60,48,2,UA,DEN,CO,12.0,0.0,1400-1459,967.0,4,1
0.0,69,53,7,UA,IAD,VA,17.0,1.0,0800-0859,2419.0,10,1
0.0,74,56,2,WN,BUR,CA,-7.0,0.0,1800-1859,326.0,2,0
0.0,71,56,5,UA,IAH,TX,-2.0,0.0,1200-1259,1635.0,7,0
0.09,59,45,3,DL,MSP,MN,-7.0,0.0,1200-1259,1589.0,7,0
0.0,70,53,4,AS,OGG,HI,99.0,1.0,1200-1259,2338.0,10,1
0.13,60,47,4,UA,EWR,NJ,2.0,0.0,1300-1359,2565.0,11,1
0.1,62,48,5,AS,SEA,WA,-9.0,0.0,2100-2159,679.0,3,0
0.14,61,48,7,OO,RDD,CA,2.0,0.0,0900-0959,199.0,1,1
0.02,63,49,6,UA,ORD,IL,-3.0,0.0,0800-0859,1846.0,8,0
0.17,59,47,5,UA,DEN,CO,7.0,0.0,0800-0859,967.0,4,1
0.0,72,54,5,OO,SMF,CA,5.0,0.0,1800-1859,86.0,1,1
0.0,72,56,5,B6,JFK,NY,1.0,0.0,2100-2159,2586.0,11,1
0.09,64,49,1,OO,SBP,CA,3.0,0.0,1600-1659,190.0,1,1
0.01,66,50,1,UA,DFW,TX,0.0,0.0,1000-1059,1464.0,6,0
0.0,72,55,2,WN,SAN,CA,-2.0,0.0,1200-1259,447.0,2,0
0.13,61,47,6,UA,DEN,CO,-2.0,0.0,0001-0559,967.0,4,0
0.2,60,46,1,UA,LAX,CA,-5.0,0.0,1300-1359,337.0,2,0
0.09,60,46,4,UA,DEN,CO,-2.0,0.0,0001-0559,967.0,4,0
0.04,65,50,6,AA,DFW,TX,-5.0,0.0,1500-1559,1464.0,6,0
0.0,72,54,4,WN,BUR,CA,29.0,1.0,1800-1859,326.0,2,1
0.0,72,53,1,DL,JFK,NY,22.0,1.0,0600-0659,2586.0,11,1
0.0,72,54,7,OO,GEG,WA,-8.0,0.0,1600-1659,733.0,3,0
0.11,57,44,3,OO,PSP,CA,-10.0,0.0,1900-1959,421.0,2,0
0.0,71,54,7,UA,KOA,HI,0.0,0.0,1600-1659,2367.0,10,0
0.08,55,43,5,UA,IAH,TX,-3.0,0.0,0700-0759,1635.0,7,0
0.0,72,56,4,UA,HNL,HI,27.0,1.0,1100-1159,2398.0,10,1
0.01,68,53,6,UA,SAN,CA,-2.0,0.0,2100-2159,447.0,2,0
0.0,72,55,1,OO,LAX,CA,24.0,1.0,1200-1259,337.0,2,1
0.1,62,47,1,OO,SBA,CA,53.0,1.0,2200-2259,262.0,2,1
0.0,74,56,2,UA,JAC,WY,-12.0,0.0,1800-1859,737.0,3,0
0.09,60,46,4,OO,RDM,OR,27.0,1.0,2200-2259,462.0,2,1
0.0,69,52,2,UA,KOA,HI,14.0,0.0,1100-1159,2367.0,10,1
0.02,67,51,1,OO,SLC,UT,5.0,0.0,1800-1859,599.0,3,1
0.03,67,50,5,AA,DFW,TX,-3.0,0.0,1500-1559,1464.0,6,0
0.02,68,52,6,UA,LAX,CA,-5.0,0.0,0800-0859,337.0,2,0
0.24,60,47,6,UA,DEN,CO,2.0,0.0,1800-1859,967.0,4,1
0.0,72,54,1,UA,IAH,TX,19.0,1.0,1600-1659,1635.0,7,1
0.0,72,54,5,OO,SAN,CA,15.0,1.0,2200-2259,447.0,2,1
0.11,58,44,1,AS,EWR,NJ,-11.0,0.0,0700-0759,2565.0,11,0
0.02,64,48,5,OO,BUR,CA,-3.0,0.0,0800-0859,326.0,2,0
0.0,73,55,5,OO,TUS,AZ,-7.0,0.0,0800-0859,751.0,4,0
0.11,64,48,4,AS,LAS,NV,-5.0,0.0,1500-1559,414.0,2,0
0.09,62,48,7,UA,PDX,OR,-4.0,0.0,0800-0859,550.0,3,0
0.2,56,44,6,AS,SEA,WA,2.0,0.0,0600-0659,679.0,3,1
0.0,72,54,7,UA,EWR,NJ,23.0,1.0,1100-1159,2565.0,11,1
0.01,70,54,3,AA,ORD,IL,1.0,0.0,2300-2359,1846.0,8,1
0.16,60,47,7,AS,LAS,NV,49.0,1.0,2000-2059,414.0,2,1
0.0,70,56,4,AA,JFK,NY,118.0,1.0,1300-1359,2586.0,11,1
0.13,62,48,6,OO,BIH,CA,-3.0,0.0,0800-0859,221.0,1,0
0.01,68,52,6,UA,EWR,NJ,22.0,1.0,2100-2159,2565.0,11,1
0.01,68,52,1,OO,PSP,CA,-10.0,0.0,1900-1959,421.0,2,0
0.04,68,52,7,AS,EWR,NJ,104.0,1.0,0700-0759,2565.0,11,1
0.17,62,48,2,UA,DEN,CO,5.0,0.0,1200-1259,967.0,4,1
0.02,67,50,4,AS,MCO,FL,18.0,1.0,0700-0759,2446.0,10,1
0.01,67,50,2,UA,SNA,CA,-4.0,0.0,1800-1859,372.0,2,0
0.06,62,47,6,AS,PDX,OR,15.0,1.0,2000-2059,550.0,3,1
0.13,54,43,4,B6,FLL,FL,-11.0,0.0,2200-2259,2584.0,11,0
0.06,58,44,2,AA,DFW,TX,-8.0,0.0,1400-1459,1464.0,6,0
0.06,67,53,5,OO,PSP,CA,-8.0,0.0,1400-1459,421.0,2,0
0.02,68,52,2,OO,AUS,TX,-6.0,0.0,2300-2359,1504.0,7,0
0.0,72,55,4,AS,JFK,NY,-4.0,0.0,0700-0759,2586.0,11,0
0.0,73,55,6,UA,ORD,IL,4.0,0.0,1000-1059,1846.0,8,1
0.02,67,50,4,AS,JFK,NY,-6.0,0.0,2300-2359,2586.0,11,0
0.4,55,43,2,OO,SAN,CA,-9.0,0.0,0600-0659,447.0,2,0
0.02,66,51,2,OO,LAX,CA,937.0,1.0,0800-0859,337.0,2,1
0.0,72,54,7,WN,DEN,CO,61.0,1.0,1500-1559,967.0,4,1
0.11,64,48,4,UA,SAN,CA,-3.0,0.0,1300-1359,447.0,2,0
0.09,64,49,1,OO,SNA,CA,-6.0,0.0,0700-0759,372.0,2,0
0.0,73,55,5,OO,MSO,MT,-3.0,0.0,1200-1259,769.0,4,0
0.0,72,55,6,F9,DEN,CO,45.0,1.0,2000-2059,967.0,4,1
0.0,70,53,7,AS,MCO,FL,-1.0,0.0,0800-0859,2446.0,10,0
0.02,66,48,3,AS,LAX,CA,-5.0,0.0,0800-0859,337.0,2,0
0.0,72,54,3,UA,LAS,NV,-2.0,0.0,1100-1159,414.0,2,0
0.01,70,53,4,WN,BUR,CA,7.0,0.0,1200-1259,326.0,2,1
0.02,64,48,5,UA,PHX,AZ,9.0,0.0,1300-1359,651.0,3,1
0.13,62,48,3,AS,LAX,CA,-1.0,0.0,1800-1859,337.0,2,0
0.01,68,52,1,WN,LAX,CA,15.0,1.0,1300-1359,337.0,2,1
0.15,60,46,2,WN,MDW,IL,9.0,0.0,0001-0559,1855.0,8,1
0.0,71,54,6,UA,BOS,MA,-1.0,0.0,2100-2159,2704.0,11,0
0.0,69,52,3,OO,SBP,CA,-6.0,0.0,2200-2259,190.0,1,0
0.01,68,53,5,OO,SNA,CA,0.0,0.0,0800-0859,372.0,2,0
0.0,72,54,3,UA,BZN,MT,16.0,1.0,1100-1159,807.0,4,1
0.16,60,47,7,DL,ATL,GA,-3.0,0.0,0600-0659,2139.0,9,0
0.02,64,48,5,OO,SNA,CA,7.0,0.0,1400-1459,372.0,2,1
0.08,55,43,5,OO,ABQ,NM,-2.0,0.0,1900-1959,896.0,4,0
0.01,68,52,6,OO,RDD,CA,0.0,0.0,2200-2259,199.0,1,0
0.0,68,53,6,UA,HNL,HI,19.0,1.0,1300-1359,2398.0,10,1
